[2026-06-02 23:04:30] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 23:04:44] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_0
[2026-06-02 23:04:47] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: back_to_movies
[2026-06-02 23:04:49] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: page_1
[2026-06-02 23:04:52] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: main_menu
[2026-06-02 23:04:55] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 23:04:57] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 23:05:00] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: movie_1
[2026-06-02 23:05:04] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: main_menu
[2026-06-02 23:05:05] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 23:05:06] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 23:05:14] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 23:05:18] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_tomorrow
[2026-06-02 23:32:51] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: main_menu
[2026-06-02 23:32:53] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 23:32:54] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 23:33:10] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 23:33:11] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 23:33:13] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 23:33:14] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 23:33:16] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 23:33:17] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 23:33:22] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 23:33:23] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 23:33:27] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 23:33:28] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 23:33:33] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 23:33:34] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 23:33:38] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 23:33:39] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 23:33:43] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 23:33:44] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_tomorrow
[2026-06-02 23:49:50] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 23:49:52] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 23:58:25] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 23:58:26] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-03 00:56:19] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: /cinema
[2026-06-03 00:56:29] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-03 00:56:31] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-03 01:08:17] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-03 01:08:19] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-03 01:12:55] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-03 01:12:57] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-03 01:15:41] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-03 01:15:43] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-03 01:18:23] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-03 01:18:25] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-03 01:19:53] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-03 01:19:55] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-03 01:26:38] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-03 01:26:40] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-03 01:27:26] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: page_1
[2026-06-03 01:27:32] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: page_0
